Datetime,hour,energy_consumption,hour_mean,z_score,residual,anomaly_type,is_peak_hour,is_weekend,wastage_mw,cost_usd
2002-01-01 08:00:00,8,29595.0,31490.827830967315,-0.39622202542952417,-7982.400100029299,Demand Drop,0,0,0.0,0.0
2002-01-01 09:00:00,9,29943.0,32628.888246946186,-0.5880909027969724,-7541.616731261558,Demand Drop,0,0,0.0,0.0
2002-01-27 17:00:00,17,25893.0,35596.05150214592,-1.3961145296521558,-7550.321915425542,Demand Drop,1,1,0.0,0.0
2002-01-27 18:00:00,18,28530.0,36421.93149554308,-1.1741813532809338,-7604.627471493637,Demand Drop,1,1,0.0,0.0
2002-01-29 18:00:00,18,32094.0,36421.93149554308,-0.6439204981966522,-7634.283872136126,Demand Drop,1,0,0.0,0.0
2002-01-29 21:00:00,21,31829.0,35741.057279630244,-0.7475269255130321,-7032.374409311749,Demand Drop,1,0,0.0,0.0
2002-01-29 22:00:00,22,30015.0,34453.149884450315,-0.8737303129917336,-7109.2762241233795,Demand Drop,0,0,0.0,0.0
2002-01-29 23:00:00,23,27442.0,32047.501485638826,-0.985029267519611,-7085.573154525664,Demand Drop,0,0,0.0,0.0
2002-01-30 00:00:00,0,24743.0,29523.61119366023,-1.115157862749704,-7360.3578298055145,Demand Drop,0,0,0.0,0.0
2002-01-30 01:00:00,1,22868.0,27535.589963684386,-1.170577108345082,-7556.118336214808,Demand Drop,0,0,0.0,0.0
2002-01-30 02:00:00,2,21932.0,26347.1832616606,-1.1611394002530335,-7702.99652514849,Demand Drop,0,0,0.0,0.0
2002-01-30 03:00:00,3,21562.0,25679.097665949346,-1.1123883424090883,-7759.806240782942,Demand Drop,0,0,0.0,0.0
2002-01-30 04:00:00,4,21320.0,25414.924727632882,-1.117292732319202,-8083.284748048118,Demand Drop,0,0,0.0,0.0
2002-01-30 05:00:00,5,21816.0,25749.431000330143,-1.0580152057285181,-8365.780931490928,Demand Drop,0,0,0.0,0.0
2002-01-30 06:00:00,6,24056.0,27162.85391218224,-0.78620228009416,-8342.225407827758,Demand Drop,0,0,0.0,0.0
2002-01-30 07:00:00,7,28002.0,29611.04688015847,-0.3534873330062321,-8160.776382071694,Demand Drop,0,0,0.0,0.0
2002-01-30 08:00:00,8,30702.0,31490.827830967315,-0.1648625237986795,-7505.414039370677,Demand Drop,0,0,0.0,0.0
2002-01-30 09:00:00,9,30644.0,32628.888246946186,-0.4346028627307479,-7434.3382841870625,Demand Drop,0,0,0.0,0.0
2002-01-30 10:00:00,10,30826.0,33497.40343347639,-0.5807454428102756,-6953.888818537031,Demand Drop,0,0,0.0,0.0
2002-01-30 20:00:00,20,33081.0,36106.84021129085,-0.5384689517081909,-7093.732398645065,Demand Drop,1,0,0.0,0.0
2002-01-30 21:00:00,21,32107.0,35741.057279630244,-0.6944059023688453,-7225.307776024121,Demand Drop,1,0,0.0,0.0
2002-01-30 22:00:00,22,30371.0,34453.149884450315,-0.8036452551357883,-7238.739100479157,Demand Drop,0,0,0.0,0.0
2002-01-30 23:00:00,23,27809.0,32047.501485638826,-0.9065349401793706,-7125.678913904143,Demand Drop,0,0,0.0,0.0
2002-01-31 00:00:00,0,25332.0,29523.61119366023,-0.9777637190823372,-7062.456238635201,Demand Drop,0,0,0.0,0.0
2002-01-31 01:00:00,1,23559.0,27535.589963684386,-0.9972823699126668,-7161.64709616073,Demand Drop,0,0,0.0,0.0
2002-01-31 02:00:00,2,22734.0,26347.1832616606,-0.9502231723606752,-7165.539876491795,Demand Drop,0,0,0.0,0.0
2002-01-31 03:00:00,3,22363.0,25679.097665949346,-0.89596815164244,-7159.653597125503,Demand Drop,0,0,0.0,0.0
2002-01-31 04:00:00,4,22487.0,25414.924727632882,-0.7988789139117921,-7120.277051328649,Demand Drop,0,0,0.0,0.0
2002-01-31 05:00:00,5,23087.0,25749.431000330143,-0.716141323520319,-7235.376539204131,Demand Drop,0,0,0.0,0.0
2002-01-31 06:00:00,6,25243.0,27162.85391218224,-0.4858270024499411,-7294.470009336186,Demand Drop,0,0,0.0,0.0
2002-02-21 05:00:00,5,22739.0,25749.431000330143,-0.8097464462649715,-7145.733334226981,Demand Drop,0,0,0.0,0.0
2002-02-21 06:00:00,6,24739.0,27162.85391218224,-0.6133662947268462,-7415.5945870926225,Demand Drop,0,0,0.0,0.0
2002-02-21 07:00:00,7,28807.0,29611.04688015847,-0.17663897229097938,-7202.140124812584,Demand Drop,0,0,0.0,0.0
2002-02-21 08:00:00,8,30599.0,31490.827830967315,-0.18638919829549702,-7102.865175997584,Demand Drop,0,0,0.0,0.0
2002-02-22 05:00:00,5,23336.0,25749.431000330143,-0.6491652443150935,-7005.231071650145,Demand Drop,0,0,0.0,0.0
2002-02-22 06:00:00,6,25318.0,27162.85391218224,-0.4668479410992112,-7126.269575425773,Demand Drop,0,0,0.0,0.0
2002-03-31 07:00:00,7,20018.0,29611.04688015847,-2.1074715714541545,-5941.275621479541,Pattern Outlier,0,1,0.0,0.0
2002-03-31 08:00:00,8,21440.0,31490.827830967315,-2.1005912537940574,-5531.33101496004,Pattern Outlier,0,1,0.0,0.0
2002-03-31 09:00:00,9,22997.0,32628.888246946186,-2.108958130043756,-5187.493783774524,Pattern Outlier,0,1,0.0,0.0
2002-03-31 10:00:00,10,24076.0,33497.40343347639,-2.048150811032058,-4961.997652393609,Pattern Outlier,0,1,0.0,0.0
2002-04-14 07:00:00,7,20130.0,29611.04688015847,-2.08286658213725,-2441.0112357505604,Pattern Outlier,0,1,0.0,0.0
2002-04-14 08:00:00,8,20961.0,31490.827830967315,-2.2007007400462477,-2633.251388863915,Pattern Outlier,0,1,0.0,0.0
2002-04-14 09:00:00,9,22807.0,32628.888246946186,-2.1505597386209065,-2189.223639418564,Pattern Outlier,0,1,0.0,0.0
2002-04-16 15:00:00,15,39171.0,34940.669692967975,0.6237807456330374,7436.697239798468,Demand Surge,0,0,4230.330307032025,507639.63684384304
2002-04-16 16:00:00,16,39671.0,35065.39220864972,0.6593908956807188,8049.657591039948,Demand Surge,0,0,4605.607791350281,552672.9349620338
2002-04-16 17:00:00,17,40279.0,35596.05150214592,0.673801683730205,8665.175467309771,Demand Surge,1,0,4682.948497854079,561953.8197424894
2002-04-16 18:00:00,18,40229.0,36421.93149554308,0.5664251965594171,8620.904181548256,Demand Surge,1,0,3807.068504456918,456848.2205348302
2002-04-16 19:00:00,19,39544.0,36426.62991086167,0.4987796595685841,8120.83492908836,Demand Surge,1,0,3117.370089138327,374084.4106965992
2002-04-16 20:00:00,20,39165.0,36106.84021129085,0.5442204414620592,7151.300266676739,Demand Surge,1,0,3058.1597887091484,366979.1746450978
2002-04-16 21:00:00,21,40452.0,35741.057279630244,0.900180206042088,7402.342467162642,Demand Surge,1,0,4710.942720369756,565313.1264443707
2002-04-16 22:00:00,22,38803.0,34453.149884450315,0.8563469017218819,7089.017123890797,Demand Surge,0,0,4349.850115549685,521982.0138659622
2002-04-17 12:00:00,12,40209.0,34588.618355893035,1.0298434969604116,7990.830406462017,Demand Surge,0,0,5620.381644106965,674445.7972928358
2002-04-17 13:00:00,13,41410.0,34759.57114559261,1.1178015478722514,9349.80759026287,Demand Surge,0,0,6650.428854407393,798051.4625288872
2002-04-17 14:00:00,14,42550.0,34916.601683724,1.1883382592920697,10519.003827426652,Demand Surge,0,0,7633.398316275998,916007.7979531197
2002-04-17 15:00:00,15,43322.0,34940.669692967975,1.235863889783402,11496.861793401386,Demand Surge,0,0,8381.330307032025,1005759.636843843
2002-04-17 16:00:00,16,43994.0,35065.39220864972,1.2783204639738146,12387.236773884953,Demand Surge,0,0,8928.607791350281,1071432.9349620338
2002-04-17 17:00:00,17,44537.0,35596.05150214592,1.2864600485697777,12901.165280360317,Demand Surge,1,0,8940.948497854079,1072913.8197424894
2002-04-17 18:00:00,18,44332.0,36421.93149554308,1.1768798229373092,12701.473284299987,Demand Surge,1,0,7910.068504456918,949208.2205348301
2002-04-17 19:00:00,19,43302.0,36426.62991086167,1.1000601963869914,11847.751918849535,Demand Surge,1,0,6875.370089138327,825044.4106965992
2002-04-17 20:00:00,20,42437.0,36106.84021129085,1.1264952104385644,10401.195432646356,Demand Surge,1,0,6330.159788709148,759619.1746450978
2002-04-17 21:00:00,21,43113.0,35741.057279630244,1.4086515822531718,9994.166493835379,Demand Surge,1,0,7371.942720369756,884633.1264443707
2002-04-17 22:00:00,22,41165.0,34453.149884450315,1.3213494485076762,9354.04193925426,Demand Surge,0,0,6711.850115549685,805422.0138659622
2002-04-17 23:00:00,23,37278.0,32047.501485638826,1.118704257599201,8026.950621443571,Demand Surge,0,0,5230.498514361174,627659.8217233409
2002-04-18 11:00:00,11,39742.0,34197.643116540115,1.11640872484613,7694.908017790076,Demand Surge,0,0,5544.356883459885,665322.8260151861
2002-04-18 12:00:00,12,41100.0,34588.618355893035,1.1931047510700559,9124.950980171649,Demand Surge,0,0,6511.381644106965,781365.7972928358
2002-04-18 13:00:00,13,42241.0,34759.57114559261,1.257475711240865,10464.541097755235,Demand Surge,0,0,7481.428854407393,897771.4625288872
2002-04-18 14:00:00,14,43352.0,34916.601683724,1.3131905523946246,11724.633562936375,Demand Surge,0,0,8435.398316275998,1012247.7979531197
2002-04-18 15:00:00,15,43791.0,34940.669692967975,1.3050199954462594,12374.545461839301,Demand Surge,0,0,8850.330307032025,1062039.636843843
2002-04-18 16:00:00,16,43961.0,35065.39220864972,1.2735958107807375,12783.234106627231,Demand Surge,0,0,8895.607791350281,1067472.9349620338
2002-04-18 17:00:00,17,43561.0,35596.05150214592,1.146029197446381,12451.353199846875,Demand Surge,1,0,7964.948497854079,955793.8197424894
2002-04-18 18:00:00,18,42399.0,36421.93149554308,0.8892832368323945,11378.302261574423,Demand Surge,1,0,5977.068504456918,717248.2205348301
2002-04-18 19:00:00,19,40804.0,36426.62991086167,0.7003798395555967,9994.190131323201,Demand Surge,1,0,4377.370089138327,525284.4106965992
2002-04-18 20:00:00,20,39982.0,36106.84021129085,0.6896111768697012,8555.5779151688,Demand Surge,1,0,3875.1597887091484,465019.1746450978
2002-04-18 21:00:00,21,40179.0,35741.057279630244,0.8480145969832282,7699.710007261307,Demand Surge,1,0,4437.942720369756,532553.1264443707
2002-04-18 22:00:00,22,38344.0,34453.149884450315,0.7659844254413232,7070.651219625503,Demand Surge,0,0,3890.850115549685,466902.0138659622
2002-04-19 13:00:00,13,39405.0,34759.57114559261,0.7808019118264384,8068.973774692342,Demand Surge,0,0,4645.428854407393,557451.4625288872
2002-04-19 14:00:00,14,40733.0,34916.601683724,0.9054746476120918,9558.602522142777,Demand Surge,0,0,5816.398316275998,697967.7979531197
